"name","value","year"
"LA.不動產業",11793,"1985"
"LB.住宅服務",121561,"1985"
"M 專業、科學及技術服務業",29053,"1985"
"N 支援服務業",13914,"1985"
"NA.租賃業",9266,"1985"
"NB.其他支援服務業",4648,"1985"
"O 公共行政及國防",218098,"1985"
"P 教育服務業",68089,"1985"
"Q 醫療保健及社會工作服務業",25742,"1985"
"QA.醫療保健服務業",24208,"1985"
"QB.社會工作服務業",1534,"1985"
"R 藝術、娛樂及休閒服務業",13183,"1985"
"S 其他服務業",57581,"1985"
"SA.對家庭服務之非營利機構",5419,"1985"
"SB.家事服務業",14518,"1985"
"SC.未分類其他服務業",37644,"1985"
"合 計",2441840,"1985"
"進口稅",81783,"1985"
"加值型營業稅",0,"1985"
"總 計(生產面)",2523623,"1985"
"統計差異",-6494,"1985"
"GDP",2517129,"1985"
"補充項目:ICT產業",118957,"1985"
"A 農、林、漁、牧業",159743,"1986"
"AA.農耕業",97047,"1986"
"AB.畜牧業",19822,"1986"
"AC.林業",6300,"1986"
"AD.漁業",36574,"1986"
"B 礦業及土石採取業",29831,"1986"
"C 製造業",1103413,"1986"
"CA.食品製造業",67981,"1986"
"CB.飲料及菸草製造業",55058,"1986"
"CC.紡織業",100341,"1986"
"CD.成衣及服飾品製造業",61621,"1986"
"CE.皮革、毛皮及其製品製造業",52192,"1986"
"CF.木竹製品製造業",20755,"1986"
"CG.紙漿、紙及紙製品製造業",31644,"1986"
"CH.印刷及資料儲存媒體複製業",13110,"1986"
"CI.石油及煤製品製造業",57060,"1986"
"CJ.化學材料製造業",79651,"1986"
"CK.化學製品製造業",13611,"1986"
"CL.藥品製造業",5382,"1986"
"CM.橡膠製品製造業",10859,"1986"
"CN.塑膠製品製造業",52861,"1986"
"CO.非金屬礦物製品製造業",37808,"1986"
"CP.基本金屬製造業",49371,"1986"
"CQ.金屬製品製造業",60410,"1986"
"CR.電子零組件製造業",52548,"1986"
"CS.電腦、電子產品及光學製品製造業",53172,"1986"
"CT.電力設備製造業",49445,"1986"
"CU.機械設備製造業",29632,"1986"
"CV.汽車及其零件製造業",29183,"1986"
"CW.其他運輸工具製造業",32395,"1986"
"CX.家具製造業",14212,"1986"
"CY.其他製造業",73111,"1986"
"D 電力及燃氣供應業",92018,"1986"
"DA.電力供應業",89242,"1986"
"DB.氣體燃料供應業",2776,"1986"
"E 用水供應及污染整治業",19565,"1986"
"EA.用水供應業",6850,"1986"
"EB.污染整治業",12715,"1986"
"F 營造業",104369,"1986"
"G 批發及零售業",352255,"1986"
"GA.批發業",160152,"1986"
"GB.零售業",192103,"1986"
"H 運輸及倉儲業",130462,"1986"
"HA.陸上運輸業",70119,"1986"
"HB.水上運輸業",16538,"1986"
"HC.航空運輸業",13289,"1986"
"HD.運輸輔助及倉儲業",25493,"1986"
"HE.郵政及快遞業",5023,"1986"
"I 住宿及餐飲業",40265,"1986"
"IA住宿服務業",13700,"1986"
"IB.餐飲業",26565,"1986"
"J 資訊及通訊傳播業",58586,"1986"
"JA.傳播業",12215,"1986"
"JB.電信業",43004,"1986"
"JC.資訊業",3367,"1986"
"K 金融及保險業",113203,"1986"
"KA.金融中介業",85061,"1986"
"KB.保險業",25127,"1986"
"KC.證券期貨及其他金融業",3015,"1986"
"L 不動產業",151971,"1986"
"LA.不動產業",14077,"1986"
"LB.住宅服務",137894,"1986"
"M 專業、科學及技術服務業",31759,"1986"
"N 支援服務業",14192,"1986"
"NA.租賃業",8812,"1986"
"NB.其他支援服務業",5380,"1986"
"O 公共行政及國防",229837,"1986"
"P 教育服務業",74271,"1986"
"Q 醫療保健及社會工作服務業",30091,"1986"
"QA.醫療保健服務業",28125,"1986"
"QB.社會工作服務業",1966,"1986"
"R 藝術、娛樂及休閒服務業",14439,"1986"
"S 其他服務業",65598,"1986"
"SA.對家庭服務之非營利機構",8007,"1986"
"SB.家事服務業",16265,"1986"
"SC.未分類其他服務業",41326,"1986"
"合 計",2815868,"1986"
"進口稅",92387,"1986"
"加值型營業稅",35742,"1986"
"總 計(生產面)",2943997,"1986"
"統計差異",0,"1986"
"GDP",2943997,"1986"
"補充項目:ICT產業",152091,"1986"
"A 農、林、漁、牧業",173485,"1987"
"AA.農耕業",102509,"1987"
"AB.畜牧業",19766,"1987"
"AC.林業",7162,"1987"
"AD.漁業",44048,"1987"
"B 礦業及土石採取業",32429,"1987"
"C 製造業",1204258,"1987"
"CA.食品製造業",73432,"1987"
"CB.飲料及菸草製造業",61274,"1987"
"CC.紡織業",106197,"1987"
"CD.成衣及服飾品製造業",58333,"1987"
"CE.皮革、毛皮及其製品製造業",51676,"1987"
"CF.木竹製品製造業",23665,"1987"
"CG.紙漿、紙及紙製品製造業",33624,"1987"
"CH.印刷及資料儲存媒體複製業",13975,"1987"
"CI.石油及煤製品製造業",67249,"1987"
"CJ.化學材料製造業",88216,"1987"
"CK.化學製品製造業",15429,"1987"
"CL.藥品製造業",6093,"1987"
"CM.橡膠製品製造業",11736,"1987"
"CN.塑膠製品製造業",57922,"1987"
"CO.非金屬礦物製品製造業",41910,"1987"
"CP.基本金屬製造業",53217,"1987"
"CQ.金屬製品製造業",66709,"1987"
"CR.電子零組件製造業",55986,"1987"
"CS.電腦、電子產品及光學製品製造業",62474,"1987"
"CT.電力設備製造業",55799,"1987"
"CU.機械設備製造業",35484,"1987"
"CV.汽車及其零件製造業",36254,"1987"
"CW.其他運輸工具製造業",36177,"1987"
"CX.家具製造業",16499,"1987"
"CY.其他製造業",74928,"1987"
"D 電力及燃氣供應業",102313,"1987"
"DA.電力供應業",99390,"1987"
"DB.氣體燃料供應業",2923,"1987"
"E 用水供應及污染整治業",22198,"1987"
"EA.用水供應業",7586,"1987"
"EB.污染整治業",14612,"1987"
"F 營造業",122009,"1987"
"G 批發及零售業",389815,"1987"
"GA.批發業",181979,"1987"
"GB.零售業",207836,"1987"
"H 運輸及倉儲業",146113,"1987"
"HA.陸上運輸業",75797,"1987"
"HB.水上運輸業",16136,"1987"
"HC.航空運輸業",16523,"1987"
"HD.運輸輔助及倉儲業",31825,"1987"
"HE.郵政及快遞業",5832,"1987"
"I 住宿及餐飲業",46802,"1987"
"IA住宿服務業",15004,"1987"
"IB.餐飲業",31798,"1987"
"J 資訊及通訊傳播業",66892,"1987"
"JA.傳播業",14239,"1987"
"JB.電信業",48723,"1987"
"JC.資訊業",3930,"1987"
"K 金融及保險業",148477,"1987"
"KA.金融中介業",109049,"1987"
"KB.保險業",31741,"1987"
"KC.證券期貨及其他金融業",7687,"1987"
"L 不動產業",179233,"1987"
"LA.不動產業",18328,"1987"
"LB.住宅服務",160905,"1987"
"M 專業、科學及技術服務業",33856,"1987"
"N 支援服務業",14928,"1987"
"NA.租賃業",8792,"1987"
"NB.其他支援服務業",6136,"1987"
"O 公共行政及國防",245581,"1987"
"P 教育服務業",83791,"1987"
"Q 醫療保健及社會工作服務業",39018,"1987"
"QA.醫療保健服務業",36628,"1987"
"QB.社會工作服務業",2390,"1987"
"R 藝術、娛樂及休閒服務業",17234,"1987"
"S 其他服務業",71244,"1987"
"SA.對家庭服務之非營利機構",8111,"1987"
"SB.家事服務業",17453,"1987"
"SC.未分類其他服務業",45680,"1987"
"合 計",3139676,"1987"
"進口稅",101903,"1987"
"加值型營業稅",51824,"1987"
"總 計(生產面)",3293403,"1987"
"統計差異",-1546,"1987"
"GDP",3291857,"1987"
"補充項目:ICT產業",171113,"1987"
"A 農、林、漁、牧業",178842,"1988"
"AA.農耕業",108183,"1988"
"AB.畜牧業",19047,"1988"
"AC.林業",7533,"1988"
"AD.漁業",44079,"1988"
"B 礦業及土石採取業",33441,"1988"
"C 製造業",1238579,"1988"
"CA.食品製造業",71399,"1988"
"CB.飲料及菸草製造業",59793,"1988"
"CC.紡織業",94065,"1988"
"CD.成衣及服飾品製造業",50851,"1988"
"CE.皮革、毛皮及其製品製造業",50317,"1988"
"CF.木竹製品製造業",21217,"1988"
"CG.紙漿、紙及紙製品製造業",34194,"1988"
"CH.印刷及資料儲存媒體複製業",16553,"1988"
"CI.石油及煤製品製造業",70593,"1988"
"CJ.化學材料製造業",93861,"1988"
"CK.化學製品製造業",16808,"1988"
"CL.藥品製造業",6607,"1988"
"CM.橡膠製品製造業",12596,"1988"
"CN.塑膠製品製造業",57986,"1988"
"CO.非金屬礦物製品製造業",47249,"1988"
"CP.基本金屬製造業",66044,"1988"
"CQ.金屬製品製造業",72587,"1988"
"CR.電子零組件製造業",62177,"1988"
"CS.電腦、電子產品及光學製品製造業",64778,"1988"
"CT.電力設備製造業",59387,"1988"
"CU.機械設備製造業",41052,"1988"
"CV.汽車及其零件製造業",40873,"1988"
"CW.其他運輸工具製造業",37472,"1988"
"CX.家具製造業",17047,"1988"
"CY.其他製造業",73073,"1988"
"D 電力及燃氣供應業",96702,"1988"
"DA.電力供應業",93810,"1988"
"DB.氣體燃料供應業",2892,"1988"
"E 用水供應及污染整治業",25485,"1988"
"EA.用水供應業",8828,"1988"
"EB.污染整治業",16657,"1988"
"F 營造業",142878,"1988"
"G 批發及零售業",434322,"1988"
"GA.批發業",209407,"1988"
"GB.零售業",224915,"1988"
"H 運輸及倉儲業",164986,"1988"
"HA.陸上運輸業",82360,"1988"
"HB.水上運輸業",19968,"1988"
"HC.航空運輸業",19231,"1988"
"HD.運輸輔助及倉儲業",35971,"1988"
"HE.郵政及快遞業",7456,"1988"
"I 住宿及餐飲業",50559,"1988"
"IA住宿服務業",15962,"1988"
"IB.餐飲業",34597,"1988"
"J 資訊及通訊傳播業",72094,"1988"
"JA.傳播業",16909,"1988"
"JB.電信業",50564,"1988"
"JC.資訊業",4621,"1988"
"K 金融及保險業",192221,"1988"
"KA.金融中介業",134424,"1988"
"KB.保險業",38591,"1988"
"KC.證券期貨及其他金融業",19206,"1988"
"L 不動產業",208426,"1988"
"LA.不動產業",22535,"1988"
"LB.住宅服務",185891,"1988"
"M 專業、科學及技術服務業",36565,"1988"
"N 支援服務業",15358,"1988"
"NA.租賃業",8537,"1988"
"NB.其他支援服務業",6821,"1988"
"O 公共行政及國防",284547,"1988"
"P 教育服務業",95058,"1988"
"Q 醫療保健及社會工作服務業",45476,"1988"
"QA.醫療保健服務業",42871,"1988"
"QB.社會工作服務業",2605,"1988"
"R 藝術、娛樂及休閒服務業",21031,"1988"
"S 其他服務業",78145,"1988"
"SA.對家庭服務之非營利機構",9046,"1988"
"SB.家事服務業",19037,"1988"
"SC.未分類其他服務業",50062,"1988"
"合 計",3414715,"1988"
"進口稅",109711,"1988"
"加值型營業稅",58718,"1988"
"總 計(生產面)",3583144,"1988"
"統計差異",-94594,"1988"
"GDP",3488550,"1988"
"補充項目:ICT產業",182140,"1988"
"A 農、林、漁、牧業",193411,"1989"
"AA.農耕業",112524,"1989"
"AB.畜牧業",31124,"1989"
"AC.林業",4313,"1989"
"AD.漁業",45450,"1989"
"B 礦業及土石採取業",32243,"1989"
"C 製造業",1291000,"1989"
"CA.食品製造業",68128,"1989"
"CB.飲料及菸草製造業",62899,"1989"
"CC.紡織業",94635,"1989"
"CD.成衣及服飾品製造業",50608,"1989"
"CE.皮革、毛皮及其製品製造業",43970,"1989"
"CF.木竹製品製造業",19977,"1989"
"CG.紙漿、紙及紙製品製造業",36256,"1989"
"CH.印刷及資料儲存媒體複製業",19024,"1989"
"CI.石油及煤製品製造業",65180,"1989"
"CJ.化學材料製造業",89666,"1989"
"CK.化學製品製造業",17447,"1989"
"CL.藥品製造業",6843,"1989"
"CM.橡膠製品製造業",13549,"1989"
"CN.塑膠製品製造業",67183,"1989"
"CO.非金屬礦物製品製造業",55112,"1989"
"CP.基本金屬製造業",75758,"1989"
"CQ.金屬製品製造業",79554,"1989"
"CR.電子零組件製造業",67545,"1989"
